KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;4;R  ;GRO; Лида                ;;;;;; 237 ; 401646 ; 123; 237 ;401646;56789:10;11.01.20 ; Фурманова, 17         ; ОАО "Лидаагротехсервис", мачта МТС                   ; 53.869912; 25.294722;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 401646 ;:51:52:53;;      ;        ;11.01.20 ; Фурманова, 17         ; ОАО "Лидаагротехсервис", мачта МТС                   ; 53.869912; 25.294722;G
$;4;R  ;GRO; Островец            ;;;;;; 235 ; 401657 ; 1 3;     ;      ;        ;30.08.22 ; Кветковая, 4          ; ФОК, мачта МТС                                       ; 54.605489; 25.971626;G 
$;4;R  ;GRO; Островец           ;v;;;;; 235 ; 401657 ;:51   :53;;      ;        ;30.08.22 ; Кветковая, 4          ; ФОК, мачта МТС                                       ; 54.605489; 25.971626;G 
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 401675 ;   3; 232 ;401675;  7     ;01.02.20 ; Боричевского, 14      ; столб МТС                                            ; 53.162540; 24.440350;G
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 401675 ;      :53;;      ;        ;01.02.20 ; Боричевского, 14      ; столб МТС                                            ; 53.162540; 24.440350;G
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 401684 ; 12 ; 232 ;401684;56      ;01.02.20 ; Калинина, 9/5         ; ГГАУ, мачта МТС                                      ; 53.163680; 24.450510;G
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 401684 ;:51:52   ;;      ;        ;01.02.20 ; Калинина, 9/5         ; ГГАУ, мачта МТС                                      ; 53.163680; 24.450510;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 401686 ; 123; 237 ;401686;56789:10;13.01.20 ; Я.Купалы, 1           ; дом культуры, отдельные триподы                      ; 53.891481; 25.306962;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 401686 ;:51:52:53;;      ;        ;13.01.20 ; Я.Купалы, 1           ; дом культуры, отдельные триподы                      ; 53.891481; 25.306962;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 401689 ; 123; 237 ;401689;56789:10;13.01.20 ; Игнатова, 71          ; ОАО Лакокраска, мачта МТС                            ; 53.908493; 25.312918;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 401689 ;:51:52:53;;      ;        ;11.01.20 ; Игнатова, 71          ; ОАО Лакокраска, мачта МТС                            ; 53.908493; 25.312918;G
$;4;R  ;GRO; Дамовцы                 ;; 237 ; 401790 ;:21:22:23;;;;  ;;;        ;18.02.24 ; Щучинский р-н         ; башня 70м                                            ; 53.686093; 24.906649;G
$;4;R  ;GRO; АЭС                 ;;;;;; 235 ; 402285 ; 123; 235 ;402285;56789:10;18.03.18 ; Островецкий р-н       ; мачта МТС                                            ; 54.752528; 26.087251;G
$;4;R  ;GRO; АЭС                ;v;;;;; 235 ; 402285 ;   :52:53;;      ;        ;31.07.22 ; Островецкий р-н       ; мачта МТС                                            ; 54.752528; 26.087251;G
$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 402737 ;  23;     ;      ;        ;29.06.18 ; Фабричная, 1          ; ОАО "Альбертин", мачта МТС                           ; 53.082420; 25.391054;G
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 402737 ;   :52:53;;      ;        ;01.02.20 ; Фабричная, 1          ; ОАО "Альбертин", мачта МТС                           ; 53.082420; 25.391054;G
$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 402738 ; 123; 232 ;402738;  7  :10;27.10.17 ; Красноармейская, 73   ; РУП "авторемонтный завод", мачта МТС                 ; 53.084335; 25.323253;G
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 402738 ;:51:52:53;;      ;        ;15.10.20 ; Красноармейская, 73   ; РУП "авторемонтный завод", мачта МТС                 ; 53.084335; 25.323253;G
$;4;R  ;GRO; Великое Село            ;; 237 ; 402842 ;:21:22:23;;;;  ;;;        ;03.09.23 ; Лидский р-н           ; М11, совм.башня 70м                                  ; 53.997326; 25.210962;G
$;4;R  ;GRO; Гончары                 ;; 237 ; 402843 ;:21:22:23;;;;  ;;;        ;22.01.24 ; Лидский р-н           ; М11, башня 70м                                       ; 53.737474; 25.401769;G
$;4;R  ;GRO; Дятлово            ;v;;;;; 232 ; 402848 ;:51      ;;      ;        ;13.04.20 ; Энергетичная, 7       ; башня РЭС                                            ; 53.466393; 25.385435;G
$;4;R  ;GRO; Ивье                ;;;;;; 235 ; 402850 ; 123;     ;      ;        ;25.05.18 ; пл.Комсомольская, 2   ; РУЭС, мачта МТС                                      ; 53.931385; 25.769125;G
$;4;R  ;GRO; Ивье               ;v;;;;; 235 ; 402850 ;:51:52:53;;      ;        ;01.03.20 ; пл.Комсомольская, 2   ; РУЭС, мачта МТС                                      ; 53.931385; 25.769125;G
$;4;R  ;GRO; Зельва              ;;;;;; 232 ; 402860 ; 123;     ;      ;        ;27.06.18 ; пер.Больничный, 5     ; ЦРБ, мачта МТС                                       ; 53.148308; 24.824616;G
