KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
$;M;R  ;MIO; Бальшавік           ;              ;   ;  377 ;    ;    ; 201 ; 4577 ;12 45 78 ;201; 1145 ;12  ;23.04.17; Менскі р-н            ; саўгас Бальшавік, птушкафабрыка, трубастойкі          ; 54.0026  ; 27.5805  ;G
$;M;R  ;MIO; Камсамолец          ; KOMSOMOLETS  ;201;  378 ;123 ;456 ; 201 ; 1943 ;123456789;201; 6425 ;1   ;22.02.07; Менскі р-н            ; мачта 40м                                            ; 54.077122; 27.565009;G
$;M;R  ;MIO; Камсамолец          ;              ;   ;  378 ;    ;    ;     ;      ;         ;201; 6424 ;9   ;22.02.07; Менскі р-н            ; мачта 40м                                            ; 54.077122; 27.565009;G
$;M;R  ;MIO; Лясны               ; LESNOI       ;201;  379 ;123 ;456 ; 201 ; 1944 ;123456789;201; 6424 ;678 ;13.10.06; Менскі р-н            ; Мірная 15, інтэрнат, трыпод і трубастойкі              ; 54.009   ; 27.6794  ;G
$;M;R  ;MIO; Лясны               ;              ;   ;  379 ;    ;    ; 201 ; 2676 ;789      ;   ;      ;    ;20.05.20; Менскі р-н            ; Мірная 15, інтэрнат, трыпод і трубастойкі              ; 54.009   ; 27.6794  ;G
$;M;R  ;MIO; Ждановічы           ; ZHDANOVICHI  ;211;  380 ;123 ;456 ; 211 ; 1945 ;123456789;211; 1145 ;34  ;22.02.05; Менскі р-н            ; Лінейная 2/Х, майстэрня мінсквоблпобыткіравання, мачта; 53.945871; 27.421927;G
$;M;R  ;MIO; Ждановічы           ;              ;   ;  380 ;    ;    ; 211 ; 1495 ;123      ;   ;      ;    ;25.05.19; Менскі р-н            ; Лінейная 2/Х, майстэрня мінсквоблпобыткіравання, мачта; 53.945871; 27.421927;G
$;M;R  ;MIO; Ждановічы           ;              ;   ;  380 ;    ;    ; 211 ; 4696 ;1234     ;   ;      ;    ;05.09.22; Менскі р-н            ; Лінейная 2/Х, майстэрня мінсквоблпобыткіравання, мачта; 53.945871; 27.421927;G
$;M;R  ;MIO; Малая Валоўшчына    ; VALOVSCHINA  ;216;  382 ;1237;4568; 216 ; 1946 ; 2  5  8 ;216; 1145 ;57  ;22.02.07; Менскі р-н            ; вежа Сувязі белчыгункі                                 ; 53.972603; 27.257767;G
$;M;R  ;MIO; Малая Валоўшчына    ;              ;   ;  382 ;    ;    ; 216 ; 1947 ;1  4  7  ;   ;      ;    ;05.12.11; Менскі р-н            ; вежа Сувязі белчыгункі                                 ; 53.972603; 27.257767;G
$;M;R  ;MIO; Малая Валоўшчына    ;              ;   ;  382 ;    ;    ; 216 ;  910 ;   5     ;   ;      ;    ;05.08.21; Менскі р-н            ; вежа Сувязі белчыгункі                                 ; 53.972603; 27.257767;G
