KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                ; REM                                           ; OZIN     ; OZIE     ;LOCK
$;M;R  ;BR.; Брест               ; BREST        ;227 ; 4728 ;1 3 ;456 ; 227 ; 5126 ;123456789;227; 3908 ;356 ;08.05.08 ; Брестская крепость  ; Госпитальный остров, опорная мачта            ; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 5128 ;123456789;   ;      ;    ;07.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 4614 ;123456789;   ;      ;    ;05.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 5535 ;123456789;   ;      ;    ;07.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 4626 ;1  4  7  ;   ;      ;    ;15.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 4321 ;12345 789;   ;      ;    ;07.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ;              ;    ; 4728 ;    ;    ; 227 ; 4323 ;1234     ;   ;      ;    ;07.07.17 ; Брестская крепость  ; Госпитальный остров, опорная мачта, 2 квадрата; 52.081781; 23.661229;G
$;M;R  ;BR.; Брест               ; BREST        ;223 ; 4729 ;123 ;456 ; 223 ; 5132 ;123456789;223; 3908 ;89  ;28.04.07 ; Ковельская 73       ; напротив трактира "На Ковельской", столб      ; 52.064412; 23.687632;G
$;M;R  ;BR.; Брест               ;              ;    ; 4729 ;    ;    ; 223 ; 5140 ;1  4  7  ;223; 4015 ;0   ;30.04.15 ; Ковельская 73       ; напротив трактира "На Ковельской", столб      ; 52.064412; 23.687632;G
$;M;R  ;BR.; Брест               ;              ;    ; 4729 ;    ;    ; 223 ; 4323 ;5        ;   ;      ;    ;30.04.15 ; Ковельская 73       ; напротив трактира "На Ковельской", столб      ; 52.064412; 23.687632;G
$;M;R  ;BR.; Брест               ; BREST        ;220 ; 4760 ;123 ;456 ; 220 ; 5182 ;12 45 789;220; 4053 ;07  ;23.02.07 ; Красногвардейская 120; магазин N17 ТПРДУП "Желдорсервис", мачта     ; 52.129485; 23.694976;G
$;M;R  ;BR.; Брест               ;              ;    ; 4760 ;    ;    ; 220 ; 4333 ;   4     ;   ;      ;    ;08.01.24 ; Красногвардейская 120; магазин N17 ТПРДУП "Желдорсервис", мачта     ; 52.129485; 23.694976;G
$;M;R  ;BR.; Брест               ; BREST        ;220 ; 4776 ;123 ;456 ; 220 ; 5184 ;12345  89;220; 4055 ;7   ;21.10.06 ; Солнечная 86        ; ПМК N5, мачта                                 ; 52.112178; 23.644800;G
$;M;R  ;BR.; Брест               ;              ;    ; 4776 ;    ;    ; 220 ; 5193 ;1        ;   ;      ;    ;26.12.15 ; Солнечная 86        ; ПМК N5, мачта                                 ; 52.112178; 23.644800;G
$;M;R  ;BR.; Брест               ;              ;    ; 4917 ;    ;    ; 220 ; 5250 ;123456789;   ;      ;    ;05.10.15 ; Красногвардейская 150/1; мачта                                      ; 52.135474; 23.685401;G
$;M;R  ;BR.; Брест               ;              ;    ; 5019 ;    ;    ; 224 ; 5277 ;123456789;   ;      ;    ;22.04.16 ; Вычулки 109         ; мкр-н Вычулки, мачта                          ; 52.096064; 23.808853;G
$;M;R  ;BR.; Брест               ;              ;    ; 5020 ;    ;    ; 227 ; 5285 ;123456789;   ;      ;    ;29.08.15 ; Коммунистическая 28 ; УВД Брестского облисполкома, мачта            ; 52.087204; 23.685266;G
$;M;R  ;BR.; Брест               ;              ;    ; 5020 ;    ;    ; 227 ; 4380 ; 34      ;   ;      ;    ;29.08.15 ; Коммунистическая 28 ; УВД Брестского облисполкома, мачта            ; 52.087204; 23.685266;G
$;M;R  ;BR.; Брест               ;              ;    ; 5021 ;    ;    ; 220 ; 5286 ;123456789;   ;      ;    ;04.09.15 ; Шоссейная 2         ; мачта                                         ; 52.112257; 23.705393;G
$;M;R  ;BR.; Брест               ;              ;    ; 5021 ;    ;    ; 220 ; 2082 ; 67      ;   ;      ;    ;04.09.15 ; Шоссейная 2         ; мачта                                         ; 52.112257; 23.705393;G
$;M;R  ;BR.; Брест               ;              ;    ; 5052 ;    ;    ; 223 ; 5304 ;123456789;   ;      ;    ;10.10.15 ; Краснознаменная     ; светодиодный экран                            ; 52.076366; 23.720118;G
$;M;R  ;BR.; Брест               ;              ;    ; 5052 ;    ;    ; 223 ; 1817 ;1 3      ;   ;      ;    ;10.10.15 ; Краснознаменная     ; светодиодный экран                            ; 52.076366; 23.720118;G
$;M;R  ;BR.; Брест               ;              ;    ; 5053 ;    ;    ; 224 ; 5315 ;123456789;   ;      ;    ;10.10.15 ; Высокая 22/1        ; общежитие, трипод                             ; 52.098093; 23.723240;G
$;M;R  ;BR.; Брест               ;              ;    ; 5053 ;    ;    ; 224 ; 1278 ;1  4  7  ;   ;      ;    ;10.10.15 ; Высокая 22/1        ; общежитие, трипод                             ; 52.098093; 23.723240;G
$;M;R  ;BR.; Брест               ; BREST        ;223 ; 5109 ;123 ;456 ; 223 ; 5337 ;123456789;223; 4057 ;789 ;28.11.11 ; мкр-н Вулька        ; вещевой рынок "Варшавский", мачта             ; 52.076535; 23.728349;G
$;M;R  ;BR.; Брест               ;              ;    ; 5109 ;    ;    ; 223 ; 5338 ;1  4  7  ;   ;      ;    ;09.02.15 ; мкр-н Вулька        ; вещевой рынок "Варшавский", мачта             ; 52.076535; 23.728349;G
$;M;R  ;BR.; Брест               ;              ;    ; 5109 ;    ;    ; 223 ; 4382 ;5 78     ;   ;      ;    ;09.02.15 ; мкр-н Вулька        ; вещевой рынок "Варшавский", мачта             ; 52.076535; 23.728349;G
$;M;R  ;BR.; Брест               ; KOZLOVICHI   ; 86 ; 5110 ;123 ;456 ; 220 ; 5339 ;1234567  ;220; 4089 ;0   ;25.10.15 ; Козловичи           ; погранпереход, опорная мачта                  ; 52.130394; 23.590773;G
$;M;R  ;BR.; Брест               ;              ;    ; 5111 ;    ;    ; 220 ; 5341 ;123456789;   ;      ;    ;12.11.15 ; Фортечная 79        ; магазин, мачта                                ; 52.115162; 23.691793;G
$;M;R  ;BR.; Брест               ;              ;    ; 5111 ;    ;    ; 220 ; 2111 ;  3      ;   ;      ;    ;08.01.24 ; Фортечная 79        ; магазин, мачта                                ; 52.115162; 23.691793;G
