KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK
$;V;R  ;MIO; Шабунеўка           ; SHABUNEVKA  ; 111 ; 139 ;123 ;    ; 111 ; 3584 ;12345678 ;111; 5139 ;123 ;17.12.06; Дзяржынскі р-н       ; вежа 70м                                             ; 53.637030; 26.972080;G
$;V;R  ;MIO; Шабунеўка           ;             ;     ; 139 ;    ;    ; 111 ; 1584 ;12345678 ;111; 5139 ; 6  ;30.08.20; Дзяржынскі р-н       ; вежа 70м                                             ; 53.637030; 26.972080;G
$;V;R  ;MIO; Шабунеўка           ;             ;     ; 139 ;    ;    ; 111 ; 4584 ;12       ;   ;      ;    ;28.07.19; Дзяржынскі р-н       ; вежа 70м                                             ; 53.637030; 26.972080;G
$;V;R  ;MIO; Навашыно            ; NOVASHINO   ; 116 ; 140 ;1237;    ; 116 ; 3623 ;123456789;116; 5140 ;123 ;22.02.07; Менскі р-н           ; вежа                                                 ; 54.042640; 27.275290;G
$;V;R  ;MIO; Навашыно            ;             ;     ; 140 ;    ;    ; 116 ; 4623 ;1 3 5 790;116; 5140 ;4567;05.09.19; Менскі р-н           ; вежа                                                 ; 54.042640; 27.275290;G
$;V;R  ;MIO; Якуты               ; YAKUTY      ; 111 ; 141 ;123 ;456 ; 111 ; 3867 ;12345678 ;111; 5141;12346;18.06.06; Дзяржынскі р-н       ; вежа 70м, поруч комплексу "Якуцкія горы"             ; 53.824180; 27.023280;G
$;V;R  ;MIO; Акалова             ; OKOLOVO     ; 116 ; 142 ;123 ;    ; 116 ; 3657 ;123456789;116; 5142 ;123 ;19.06.06; Лагойскі р-н         ; М3, вежа 70м                                         ; 54.492530; 27.862048;Y
$;V;R  ;MIO; Грабянец            ; GREBENKA    ; 112 ; 143 ;123 ;    ; 112 ; 3816 ;123456789;112; 5143 ;123 ;17.08.08; Чэрвенскі р-н        ; РТПС                                                 ; 53.837272; 28.241343;G
$;V;R  ;MIO; Грабянец            ;             ;     ; 143 ;    ;    ; 112 ; 4816 ;12       ;112; 5143 ;  6 ;15.01.21; Чэрвенскі р-н        ; РТПС                                                 ; 53.837272; 28.241343;G
$;V;R  ;MIO; Дрычын              ; DRICHIN     ; 111 ; 144 ;123 ;456 ; 111 ; 3751 ;123456789;111; 5144 ;123 ;19.09.06; Пухавіцкі р-н        ; РТПС                                                 ; 53.574773; 27.986207;G
$;V;R  ;MIO; Дрычын              ;             ;     ; 144 ;    ;    ; 111 ; 4751 ;123      ;   ;      ;    ;14.07.19; Пухавіцкі р-н        ; РТПС                                                 ; 53.574773; 27.986207;G
$;V;R  ;MIO; Гацук               ; GACUK       ; 117 ; 145 ;123 ;    ; 117 ; 3641 ;1 34 6789;117; 5145 ;1 3 ;05.06.06; Слуцкі р-н           ; вежа 70м                                             ; 53.329770; 27.525940;G
$;V;R  ;MIO; Гацук               ;             ;     ; 145 ;    ;    ; 117 ; 4641 ;  3      ;117; 5145 ;  6 ;09.02.23; Слуцкі р-н           ; вежа 70м                                             ; 53.329770; 27.525940;G
$;V;R  ;MIO; Іжа                 ; IZHA        ; 115 ; 146 ;123 ;    ; 115 ; 3114 ;  3  6  9;   ;      ;    ;03.07.06; Вілейскі р-н         ; РТПС                                                 ; 54.658460; 26.777350;G
$;V;R  ;MIO; Цна                 ; CHERCHENOVO ; 115 ; 147 ;123 ;    ; 115 ; 3081 ;123456   ;115; 5147 ;123 ;05.06.06; Вілейскі р-н         ; Р28, апорная мачта                                   ; 54.407649; 26.857903;G
$;V;R  ;MIO; Крупкі              ; KRUPKI      ; 113 ; 148 ;123 ;    ; 113 ; 3769 ;123456789;113; 5148 ;123 ;06.07.08; Савецкая 3           ; камбінат побытавага абслугоўвання, мачта             ; 54.317746; 29.140067;G
$;V;R  ;MIO; Крупкі              ;             ;     ; 148 ;    ;    ; 113 ; 4769 ;123      ;113; 5148 ;  6 ;26.06.19; Савецкая 3           ; камбінат побытавага абслугоўвання, мачта             ; 54.317746; 29.140067;G
$;V;R  ;MIO; Сілічы              ; SILICHI     ; 116 ; 149 ;123 ; 5  ; 116 ; 3612 ;123456789;116; 5149 ;123 ;06.11.06; Лагойскі р-н         ; РГЦ "Сілічы", воданапорная вежа                      ; 54.154920; 27.830837;G
$;V;R  ;MIO; Сілічы              ;             ;     ; 149 ;    ;    ; 116 ; 4612 ;1 3      ;116; 5149 ;456 ;12.09.19; Лагойскі р-н         ; РГЦ "Сілічы", воданапорная вежа                      ; 54.154920; 27.830837;G
$;V;RGM;MIO; Прылепы             ; PRILEPY     ; 116 ; 150 ;123 ;4   ; 116 ; 3838 ;123456789;116; 5150 ;123 ;16.09.08; Смалевіцкі р-н       ; воданапорная вежа                                    ; 54.070213; 27.819563;G
$;V;RGM;MIO; Прылепы             ;             ;     ; 150 ;    ;    ; 116 ; 4838 ;123      ;116; 5150 ; 5  ;03.07.19; Смалевіцкі р-н       ; воданапорная вежа                                    ; 54.070213; 27.819563;G
